Date,Open,High,Low,Close,Adj Close,Volume
2014-01-07,492.000000,494.000000,484.600006,490.200012,466.340607,81461
2014-01-08,491.100006,492.500000,487.000000,490.500000,466.626007,37296
2014-01-09,490.000000,491.000000,486.200012,490.100006,466.245483,24270
2014-01-10,492.000000,498.000000,488.000000,492.750000,468.766510,69126
2014-01-13,500.000000,500.000000,489.000000,494.600006,470.526550,59848
2014-01-14,494.000000,496.850006,486.049988,487.200012,463.486633,53296
2014-01-15,489.000000,494.899994,486.000000,492.950012,468.956757,32314
2014-01-16,495.000000,497.549988,491.100006,496.500000,472.334015,42052
2014-01-17,496.600006,500.000000,488.100006,491.750000,467.815216,64991
2014-01-20,493.000000,493.000000,484.049988,490.100006,466.245483,201836
2014-01-21,475.049988,482.000000,472.500000,479.000000,455.685822,292704
2014-01-22,485.000000,485.000000,466.799988,473.750000,450.691315,421136
2014-01-23,474.000000,474.399994,468.350006,473.149994,450.120453,86433
2014-01-24,472.000000,480.000000,465.850006,478.399994,455.114990,1408353
2014-01-27,474.100006,478.649994,470.950012,475.950012,452.784271,58923
2014-01-28,478.549988,480.549988,472.000000,478.000000,454.734436,82707
2014-01-29,478.350006,484.000000,476.000000,482.750000,459.253235,138900
2014-01-30,480.000000,480.200012,464.750000,478.600006,455.305267,166565
2014-01-31,478.899994,479.500000,467.700012,472.250000,449.264313,136236
2014-02-03,476.899994,478.750000,470.000000,471.149994,448.217865,67023
2014-02-04,470.000000,477.500000,465.549988,476.100006,452.926910,62011
2014-02-05,476.100006,485.399994,467.549988,483.899994,460.347321,64790
2014-02-06,485.000000,487.500000,478.500000,483.950012,460.394806,49320
2014-02-07,484.100006,491.500000,484.049988,490.500000,466.626007,81922
2014-02-10,494.000000,495.000000,485.250000,486.950012,463.248840,244760
2014-02-11,489.950012,489.950012,481.200012,483.700012,460.156982,404664
2014-02-12,477.250000,483.500000,475.000000,477.399994,454.163666,95337
2014-02-13,477.000000,479.100006,467.299988,470.049988,447.171387,70817
2014-02-14,470.000000,475.000000,468.000000,472.299988,449.311890,41606
2014-02-17,473.850006,477.100006,471.149994,472.950012,449.930237,38909
2014-02-18,475.000000,476.500000,464.600006,473.000000,449.977783,42740
2014-02-19,473.500000,473.500000,468.000000,468.600006,445.791992,41921
2014-02-20,468.000000,468.000000,461.000000,462.200012,439.703461,63642
2014-02-21,465.000000,468.500000,461.450012,464.200012,441.606171,32287
2014-02-24,465.000000,471.100006,465.000000,470.200012,447.314087,46665
2014-02-25,472.000000,474.600006,469.950012,472.100006,449.121582,26894
2014-02-26,472.000000,479.850006,471.000000,476.549988,453.355011,44926
2014-02-28,478.799988,482.100006,470.950012,472.950012,449.930237,53143
2014-03-03,472.100006,476.350006,469.100006,473.049988,450.025330,1880216
2014-03-04,474.149994,477.149994,472.799988,475.549988,452.403656,54177
2014-03-05,476.299988,478.750000,472.200012,474.649994,451.547546,34590
2014-03-06,476.600006,477.000000,473.000000,474.450012,451.357208,35620
2014-03-07,475.899994,484.950012,473.750000,480.600006,457.207825,78767
2014-03-10,486.799988,490.500000,481.000000,484.549988,460.965607,78123
2014-03-11,486.500000,493.000000,477.649994,480.299988,456.922455,56260
2014-03-12,485.000000,495.000000,478.700012,493.700012,469.670288,95801
2014-03-13,500.000000,504.000000,491.100006,493.049988,469.051880,95768
2014-03-14,492.000000,499.750000,490.500000,495.850006,471.715637,50486
2014-03-18,496.549988,505.000000,495.000000,501.549988,477.138184,64170
2014-03-19,497.450012,514.049988,497.450012,512.599976,487.650360,115805
2014-03-20,511.000000,519.400024,511.000000,514.049988,489.029785,57974
2014-03-21,513.000000,518.500000,505.149994,508.549988,483.797485,57751
2014-03-22,null,null,null,null,null,null
2014-03-24,508.399994,523.000000,506.350006,522.500000,497.068512,99124
2014-03-25,523.099976,532.799988,522.599976,524.650024,499.113861,80565
2014-03-26,528.000000,533.099976,523.750000,527.950012,502.253235,41233
2014-03-27,532.000000,541.700012,528.500000,537.250000,511.100555,79524
2014-03-28,539.000000,542.900024,533.650024,537.849976,511.671448,36970
2014-03-31,539.000000,548.000000,538.000000,546.500000,519.900452,55601
2014-04-01,548.000000,548.000000,532.299988,536.700012,510.577332,136804
2014-04-02,539.599976,542.849976,522.000000,523.750000,498.257690,77599
2014-04-03,524.500000,541.700012,524.000000,538.700012,512.480103,78306
2014-04-04,539.000000,541.000000,528.150024,531.549988,505.678101,56670
2014-04-07,528.000000,545.000000,527.849976,538.650024,512.432495,38107
2014-04-09,540.000000,548.200012,533.250000,545.549988,518.996582,68828
2014-04-10,543.150024,549.650024,539.500000,541.299988,514.953552,52369
2014-04-11,540.099976,544.950012,536.000000,541.950012,515.571838,48599
2014-04-15,543.750000,544.000000,531.099976,534.799988,508.769806,39370
2014-04-16,535.900024,538.500000,533.000000,534.549988,508.531921,32653
2014-04-17,535.000000,545.450012,533.849976,543.599976,517.141541,50961
2014-04-21,543.000000,546.450012,534.750000,539.650024,513.383911,45191
2014-04-22,542.000000,542.000000,535.000000,536.349976,510.244263,22663
2014-04-23,535.000000,537.099976,528.299988,529.599976,503.822815,49058
2014-04-24,529.599976,529.599976,529.599976,529.599976,503.822815,0
2014-04-25,532.950012,533.000000,513.099976,515.000000,489.933533,68190
2014-04-28,513.049988,517.950012,499.100006,501.000000,476.614990,136313
2014-04-29,501.000000,504.799988,495.149994,498.299988,474.046326,72568
2014-04-30,501.899994,511.500000,500.000000,505.149994,480.562958,71957
2014-05-02,509.000000,517.500000,506.649994,509.600006,484.796356,58437
2014-05-05,511.899994,519.950012,508.100006,518.500000,493.263153,66675
2014-05-06,520.000000,524.400024,513.299988,514.750000,489.695679,40139
2014-05-07,514.500000,515.000000,505.100006,506.350006,481.704590,30563
2014-05-08,506.500000,510.000000,502.049988,504.000000,479.468994,42049
2014-05-09,504.000000,522.599976,503.299988,520.750000,495.403564,42700
2014-05-12,525.000000,538.799988,517.799988,536.299988,510.196838,110582
2014-05-13,540.000000,549.000000,535.000000,539.200012,512.955688,117999
2014-05-14,545.000000,559.650024,541.900024,556.950012,529.841675,220141
2014-05-15,562.000000,565.000000,524.450012,529.700012,503.918091,255254
2014-05-16,542.000000,550.000000,525.000000,536.400024,510.291870,207435
2014-05-19,538.599976,540.000000,524.299988,528.299988,502.586182,129335
2014-05-20,528.000000,535.049988,517.900024,529.049988,503.299683,98105
2014-05-21,529.599976,547.950012,529.250000,545.150024,518.616028,114311
2014-05-22,550.000000,550.000000,536.900024,537.650024,511.481110,56343
2014-05-23,537.400024,541.500000,533.599976,538.849976,512.622681,64992
2014-05-26,541.000000,541.000000,521.400024,524.500000,498.971161,85847
2014-05-27,526.000000,529.450012,516.099976,522.200012,496.783081,48658
2014-05-28,525.250000,525.250000,508.000000,512.099976,487.174652,85520
2014-05-29,510.000000,515.450012,505.000000,506.750000,482.085083,77283
2014-05-30,506.000000,512.000000,501.299988,509.450012,484.653717,66537
2014-06-02,507.000000,515.000000,504.000000,509.899994,485.081787,55675
2014-06-03,512.000000,512.000000,506.000000,509.299988,484.510956,67005
2014-06-04,510.649994,511.049988,505.399994,509.100006,484.320679,46182
2014-06-05,510.500000,516.150024,509.000000,510.750000,485.890411,102847
2014-06-06,510.500000,513.000000,503.200012,506.350006,481.704590,167194
2014-06-09,508.700012,529.700012,508.500000,528.400024,502.681396,316883
2014-06-10,530.000000,540.000000,524.000000,535.650024,509.578461,229398
2014-06-11,539.000000,546.500000,537.000000,541.849976,515.476563,309566
2014-06-12,541.900024,552.000000,539.349976,547.900024,521.232239,125049
2014-06-13,549.900024,554.450012,538.500000,540.450012,514.144897,95422
2014-06-16,537.400024,542.549988,534.549988,539.650024,517.404785,44987
2014-06-17,543.000000,564.000000,538.000000,559.700012,536.628235,224035
2014-06-18,563.400024,569.549988,551.099976,556.099976,533.176514,162855
2014-06-19,563.000000,569.900024,551.349976,567.599976,544.202393,113904
2014-06-20,570.000000,571.200012,556.700012,566.650024,543.291870,108424
2014-06-23,568.000000,574.799988,566.599976,572.599976,548.996399,79979
2014-06-24,574.000000,580.500000,571.349976,578.500000,554.653198,78949
2014-06-25,580.000000,587.650024,573.250000,585.849976,561.700256,48374
2014-06-26,587.950012,589.000000,581.400024,584.950012,560.837341,40508
2014-06-27,585.000000,593.150024,582.500000,583.549988,559.495117,60566
2014-06-30,584.799988,596.750000,584.650024,592.700012,568.267944,80712
2014-07-01,592.000000,596.099976,580.099976,583.599976,559.542969,64096
2014-07-02,586.599976,594.750000,582.000000,584.750000,560.645569,47711
2014-07-03,586.700012,587.000000,578.000000,580.849976,556.906433,19838
2014-07-04,584.950012,592.099976,584.950012,588.200012,563.953430,53363
2014-07-07,590.000000,596.000000,584.400024,592.950012,568.507629,70811
2014-07-08,595.000000,602.799988,585.000000,590.500000,566.158508,103673
2014-07-09,590.000000,602.000000,587.500000,592.150024,567.740540,57604
2014-07-10,595.000000,595.000000,580.000000,585.900024,561.748169,60445
2014-07-11,585.000000,589.000000,565.500000,569.000000,545.544861,72871
2014-07-14,571.000000,596.250000,566.049988,589.450012,565.151794,72465
2014-07-15,593.549988,595.000000,577.000000,582.950012,558.919739,64842
2014-07-16,580.000000,588.400024,577.200012,579.799988,555.899658,57384
